,연번,상호명,영업소소재지(도로명),게임기종류,게임기수,업종명,데이터기준일자,lat,lon
61,62,에이스 PC,"인천광역시 남동구 남촌동로 31, 101호 (남촌동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.71526562966,37.4318950404228
62,63,하이 PC 2호점,"인천광역시 남동구 인하로489번길 28, 로데오프라자21 701호 (구월동)",PC,91,인터넷컴퓨터게임시설제공업,2024-02-22,126.701480649521,37.4448481331132
63,64,대박 PC,"인천광역시 남동구 경인로 586-1, 103호 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.703076519157,37.4642040435723
64,65,놀러와 PC,"인천광역시 남동구 백범로 332-1, 1층일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.713559338871,37.4645789691177
65,66,바카스 PC,"인천광역시 남동구 경인로 598, 병규빌딩 1층 102호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.704387082503,37.4645690841873
66,67,승리 PC,"인천광역시 남동구 백범로 221, 302-1호 (만수동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,,
67,68,로또 PC,"인천광역시 남동구 남동대로916번길 32, 1층일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.710026734004,37.4638492762694
68,69,바닐라 PC,"인천광역시 남동구 구월말로 66, 1층 왼쪽호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.725137137912,37.454794021424
69,70,일등PC,"인천광역시 남동구 구월남로 275-1, 1층 2호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.720373057677,37.4523381337149
70,71,아이비스 PC,"인천광역시 남동구 석정로 578, 두성빌딩 2층호 (간석동)",PC,95,인터넷컴퓨터게임시설제공업,2024-02-22,126.699495135362,37.4671064180434
71,72,스타PC,"인천광역시 남동구 복개서로 29, 명진빌딩 1층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.726333462404,37.4502973306307
72,73,레드 PC,"인천광역시 남동구 남동대로922번길 36, 크리스탈빌딩 102호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.710284952891,37.4646572132886
73,74,대박PC,"인천광역시 남동구 인주대로763번길 49, 104호 (구월동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.722043150888,37.4513515923437
74,75,탑 PC클럽,"인천광역시 남동구 경인로 611, 간석오피앙 1층 107호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.705590957184,37.4654805763603
75,76,브리즈PC카페,"인천광역시 남동구 예술로 126, B101, B109, B111, B114호 (구월동)",PC,320,인터넷컴퓨터게임시설제공업,2024-02-22,126.700886698924,37.4451295490218
76,77,듀오PC방 인천서창점,"인천광역시 남동구 서창방산로 51, 3층 306,307호 (서창동)",PC,100,인터넷컴퓨터게임시설제공업,2024-02-22,126.75020066735,37.4223446114383
77,78,대박 PC,"인천광역시 남동구 남동대로916번길 28, 1층 일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.709816704026,37.4638814673161
78,79,인디 PC 간석역점,"인천광역시 남동구 석정로 515, 3층 306호 (간석동)",PC,81,인터넷컴퓨터게임시설제공업,2024-02-22,126.692900337194,37.465961851883
79,80,여왕PC,"인천광역시 남동구 남동대로921번길 17, 1층 일부호 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.706978074282,37.4647469091571
80,81,스타 PC,"인천광역시 남동구 문화서로4번길 41-5, 1층 101호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.697168766297,37.445077553681
